,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_model_snr
6994,K02896.02,FALSE POSITIVE,346.36642,14.94,148.2,0.45,1.57,314.0,2.3,14.3
6996,K06337.01,FALSE POSITIVE,0.892061734,2.24307,75590.0,1.079,46.75,1724.0,2090.54,398.1
6997,K06338.01,FALSE POSITIVE,3.471399214,5.07707,92284.9,1.014,89.62,1558.0,1390.76,3230.4
6998,K06339.01,FALSE POSITIVE,4.176929219,5.2003,70355.0,0.984,31.35,938.0,183.08,187.0
7000,K06344.01,FALSE POSITIVE,0.823014905,3.5426,850.5,1.247,22.17,1482.0,1136.75,130.5
7001,K06472.01,FALSE POSITIVE,0.796815149,1.0727,55.9,0.524,10.23,5480.0,212663.45,4.8
7002,K06473.01,FALSE POSITIVE,26.951237675,8.27486,86749.2,1.04,146.33,1082.0,324.38,1451.7
7003,K06474.01,FALSE POSITIVE,18.11208877,6.7828,116633.0,0.982,96.62,1068.0,307.27,217.7
7004,K06476.01,FALSE POSITIVE,4.408295716,3.62479,37964.0,1.159,35.68,942.0,186.23,386.1
7005,K06477.01,FALSE POSITIVE,8.665259912,3.1088,1840.6,1.269,82.42,1378.0,852.84,181.4
7006,K06478.01,FALSE POSITIVE,4.726086185,4.39793,181820.0,0.651,41.38,1032.0,267.96,1564.3
7007,K06479.01,FALSE POSITIVE,8.643550046,3.1273,67298.6,1.076,38.21,779.0,87.16,849.3
7008,K06592.01,FALSE POSITIVE,1.51945182,2.95,13.7,0.599,0.5,1901.0,3080.82,9.6
7009,K06593.01,FALSE POSITIVE,0.759755409,2.734,70.0,0.455,0.91,2121.0,4773.08,15.9
7010,K06594.01,FALSE POSITIVE,5.082523739,5.04732,276277.0,0.269,61.88,1266.0,606.33,5286.2
7011,K06595.01,FALSE POSITIVE,1.02547271,1.996,27.0,0.651,0.94,2657.0,11800.82,10.9
7012,K06596.01,FALSE POSITIVE,1.025465924,3.71841,152685.0,0.88,106.84,2710.0,12744.17,1120.8
7013,K06597.01,FALSE POSITIVE,74.985292949,6.23451,105346.0,0.987,49.22,425.0,7.69,1754.8
7014,K06599.01,FALSE POSITIVE,25.762056721,14.8694,447716.0,0.445,74.87,604.0,31.48,3469.5
7015,K06728.01,FALSE POSITIVE,1.195516859,6.17216,513813.0,0.327,75.54,1715.0,2045.19,1153.4
7016,K06729.01,FALSE POSITIVE,1.995728294,6.43532,251876.0,0.465,45.2,1409.0,928.82,1496.5
7017,K06730.01,FALSE POSITIVE,10.768391927,12.5252,107382.0,0.001,52.8,970.0,209.25,2085.7
7018,K06732.01,FALSE POSITIVE,0.733724504,2.208,45.9,0.257,0.96,2601.0,10830.96,21.4
